ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC11001835.hg.1,1,0.178295,-1.36,-4.8121,MRPL16,mitochondrial ribosomal protein L16,,,,
TC03003334.hg.1,1,0.178396,-1.36,-4.8125,DGKG,diacylglycerol kinase, gamma 90kDa,,,
TC20000483.hg.1,1,0.178443,-1.36,-4.8127,SS18L1,synovial sarcoma translocation gene on chromosome 18-like 1,,,,
TC19002654.hg.1,1,0.1785,-1.36,-4.8129,LILRB1,leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1,,
TC06001422.hg.1,1,0.178584,1.36,-4.8132,HIST1H2AJ,histone cluster 1, H2aj,,,
TC07000935.hg.1,1,0.17862,-1.36,-4.8133,ZYX,zyxin,,,,
TC12001802.hg.1,1,0.178657,1.36,-4.8135,KERA,keratocan,,,,
TC08001420.hg.1,1,0.178671,1.36,-4.8135,FLJ46284,uncharacterized LOC441369,,,,
TC01000736.hg.1,1,0.178693,1.36,-4.8136,TCTEX1D1,Tctex1 domain containing 1,,,,
TC01002478.hg.1,1,0.178908,-1.36,-4.8144,RNF19B,ring finger protein 19B,,,,
TC01003288.hg.1,1,0.178974,-1.36,-4.8146,MIR190B,microRNA 190b,,,,
TC03003343.hg.1,1,0.178989,-1.36,-4.8147,ARPC4,actin related protein 2/3 complex, subunit 4, 20kDa,,
TC04001724.hg.1,1,0.179068,-1.36,-4.815,SH3RF1,SH3 domain containing ring finger 1,,,,
TC0X001160.hg.1,1,0.179087,-1.36,-4.8151,MIR545,microRNA 545,,,,
TC17001759.hg.1,1,0.179091,-1.36,-4.8151,LOC645638,WDNM1-like pseudogene,,,,
TC01003652.hg.1,1,0.179091,1.36,-4.8151,GLRX2,glutaredoxin 2,,,,
TC12001936.hg.1,1,0.179155,-1.36,-4.8153,SART3,squamous cell carcinoma antigen recognized by T cells 3,,,,
TC17000041.hg.1,1,0.179203,-1.36,-4.8155,SPNS3,spinster homolog 3 (Drosophila),,,,
TC03000256.hg.1,1,0.179261,1.36,-4.8157,CCR5,chemokine (C-C motif) receptor 5,,,,
TC11001739.hg.1,1,0.179405,-1.36,-4.8162,RAPSN,receptor-associated protein of the synapse,,,,
TC09000450.hg.1,1,0.179411,-1.36,-4.8162,PHF2,PHD finger protein 2,,,,
TC17001193.hg.1,1,0.179662,-1.36,-4.8172,MIR33B,microRNA 33b,,,,
TC09000349.hg.1,1,0.179711,1.36,-4.8173,RPSAP9,ribosomal protein SA pseudogene 9,,,,
TC08001667.hg.1,1,0.179733,1.36,-4.8174,MIR30D,microRNA 30d,,,,
TC6_apd_hap1000107.hg.1,1,0.179789,-1.36,-4.8176,HLA-DPA1,major histocompatibility complex, class II, DP alpha 1,,
TC6_mcf_hap5000177.hg.1,1,0.179789,-1.36,-4.8176,HLA-DPA1,major histocompatibility complex, class II, DP alpha 1,,
TC09000196.hg.1,1,0.179793,-1.36,-4.8176,TMEM8B,transmembrane protein 8B,,,,
TC12000498.hg.1,1,0.179815,-1.36,-4.8177,SUOX,sulfite oxidase,,,,
TC19000931.hg.1,1,0.179917,1.35,-4.8181,PEG3-AS1,PEG3 antisense RNA 1 (non-protein coding),,,,
TC01003328.hg.1,1,0.179966,-1.35,-4.8183,ARHGEF2,Rho/Rac guanine nucleotide exchange factor (GEF) 2,,,,
TC05000635.hg.1,1,0.179997,-1.35,-4.8184,SLC22A5,solute carrier family 22 (organic cation/carnitine transporter), member 5,,,
TC19000822.hg.1,1,0.180082,1.35,-4.8187,MIR520F,microRNA 520f,,,,
TC6_mann_hap4000213.hg.1,1,0.180107,-1.35,-4.8188,HLA-DPB1,major histocompatibility complex, class II, DP beta 1,,
TC19001488.hg.1,1,0.180344,1.35,-4.8197,ZNF607,zinc finger protein 607,,,,
TC15000198.hg.1,1,0.18044,-1.35,-4.82,KLF13,Kruppel-like factor 13,,,,
TC6_cox_hap2000032.hg.1,1,0.180692,-1.35,-4.8209,TRIM40,tripartite motif containing 40,,,,
TC6_qbl_hap6000025.hg.1,1,0.180692,-1.35,-4.8209,TRIM40,tripartite motif containing 40,,,,
TC19000699.hg.1,1,0.180729,-1.35,-4.8211,EMP3,epithelial membrane protein 3,,,,
TC08000917.hg.1,1,0.180755,1.35,-4.8212,FAM66B,family with sequence similarity 66, member B,,,
TC06000416.hg.1,1,0.180797,-1.35,-4.8213,HCG25,HLA complex group 25,,,,
TC6_cox_hap2000106.hg.1,1,0.180797,-1.35,-4.8213,HCG25,HLA complex group 25,,,,
TC6_dbb_hap3000098.hg.1,1,0.180797,-1.35,-4.8213,HCG25,HLA complex group 25,,,,
TC6_mann_hap4000090.hg.1,1,0.180797,-1.35,-4.8213,HCG25,HLA complex group 25,,,,
TC6_mcf_hap5000091.hg.1,1,0.180797,-1.35,-4.8213,HCG25,HLA complex group 25,,,,
TC10001562.hg.1,1,0.18095,-1.35,-4.8219,FRAT2,frequently rearranged in advanced T-cell lymphomas 2,,,,
TC20000391.hg.1,1,0.180978,-1.35,-4.822,SLC9A8,solute carrier family 9 (sodium/hydrogen exchanger), member 8,,,
TC14000036.hg.1,1,0.180989,1.35,-4.822,OR4N2,olfactory receptor, family 4, subfamily N, member 2,
TC20000477.hg.1,1,0.180994,-1.35,-4.822,MIR646,microRNA 646,,,,
TC10000642.hg.1,1,0.181038,-1.35,-4.8222,MIR107,microRNA 107,,,,
TC11001543.hg.1,1,0.181073,-1.35,-4.8223,LMO2,LIM domain only 2 (rhombotin-like 1),,,,
TC07001448.hg.1,1,0.18112,-1.35,-4.8225,LOC100506050,uncharacterized LOC100506050,,,,
TC14000878.hg.1,1,0.181162,1.35,-4.8226,CCNB1IP1,cyclin B1 interacting protein 1, E3 ubiquitin protein ligase,,,
TC17001294.hg.1,1,0.181232,-1.35,-4.8229,IFT20,intraflagellar transport 20 homolog (Chlamydomonas),,,,
TC12001678.hg.1,1,0.181267,-1.35,-4.823,GNS,glucosamine (N-acetyl)-6-sulfatase,,,,
TC08001658.hg.1,1,0.181292,1.35,-4.8231,SLA,Src-like-adaptor,,,,
TC0X000517.hg.1,1,0.181374,1.35,-4.8234,CXorf57,chromosome X open reading frame 57,,,,
TC12000164.hg.1,1,0.181484,-1.35,-4.8238,LOC100506226,uncharacterized LOC100506226,,,,
TC13000504.hg.1,1,0.181495,-1.35,-4.8238,GPR12,G protein-coupled receptor 12,,,,
TC14001246.hg.1,1,0.181686,-1.35,-4.8245,ZFYVE26,zinc finger, FYVE domain containing 26,,,
TC03001805.hg.1,1,0.181699,-1.35,-4.8246,ANAPC13,anaphase promoting complex subunit 13,,,,
TC15000086.hg.1,1,0.181721,1.35,-4.8247,SNORD115-14,small nucleolar RNA, C/D box 115-14,,,
TC14000478.hg.1,1,0.181743,1.35,-4.8247,IFT43,intraflagellar transport 43 homolog (Chlamydomonas),,,,
TC17001869.hg.1,1,0.181957,-1.35,-4.8255,ATP5H,ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d,
TC22000396.hg.1,1,0.182029,1.35,-4.8258,LOC100506813,uncharacterized LOC100506813,,,,
TC19000039.hg.1,1,0.182071,-1.35,-4.8259,RPS15,ribosomal protein S15,,,,
TC10000360.hg.1,1,0.182076,-1.35,-4.8259,UBE2D1,ubiquitin-conjugating enzyme E2D 1,,,,
TC06002264.hg.1,1,0.182092,1.35,-4.826,MIR3918,microRNA 3918,,,,
TC02001977.hg.1,1,0.182136,1.35,-4.8262,EXOC6B,exocyst complex component 6B,,,,
TC14000236.hg.1,1,0.182256,1.35,-4.8266,LOC100129794,uncharacterized LOC100129794,,,,
TC12000949.hg.1,1,0.182275,-1.35,-4.8267,MLEC,malectin,,,,
TC6_cox_hap2000202.hg.1,1,0.182485,-1.35,-4.8274,HLA-DPA1,major histocompatibility complex, class II, DP alpha 1,,
TC19000865.hg.1,1,0.182504,-1.35,-4.8275,MYADM,myeloid-associated differentiation marker,,,,
TC17_ctg5_hap1000002.hg.1,1,0.182583,-1.35,-4.8278,ARL17A,ADP-ribosylation factor-like 17A,,,,
TC19002688.hg.1,1,0.182595,-1.35,-4.8278,SLC35E1,solute carrier family 35, member E1,,,
TC10000388.hg.1,1,0.182596,-1.35,-4.8278,LOC84989,uncharacterized LOC84989,,,,
TC10000357.hg.1,1,0.182659,1.35,-4.828,MTRNR2L5,MT-RNR2-like 5,,,,
TC09001052.hg.1,1,0.182719,-1.35,-4.8283,KIAA1539,KIAA1539,,,,
TC02001126.hg.1,1,0.182722,1.35,-4.8283,MYO1B,myosin IB,,,,
TC16001221.hg.1,1,0.182907,-1.35,-4.8289,TMED6,transmembrane emp24 protein transport domain containing 6,,,,
TC02000581.hg.1,1,0.18304,1.35,-4.8294,ITPRIPL1,inositol 1,4,5-trisphosphate receptor interacting protein-like 1,,
TC01001367.hg.1,1,0.183046,-1.35,-4.8294,NCSTN,nicastrin,,,,
TC19001538.hg.1,1,0.183048,-1.34,-4.8294,HIPK4,homeodomain interacting protein kinase 4,,,,
TC15000409.hg.1,1,0.183179,1.34,-4.8299,SCG3,secretogranin III,,,,
TC19002623.hg.1,1,0.183202,-1.34,-4.83,DNM2,dynamin 2,,,,
TC11001772.hg.1,1,0.183281,1.34,-4.8303,OR8J3,olfactory receptor, family 8, subfamily J, member 3,
TC18000579.hg.1,1,0.183284,-1.34,-4.8303,C18orf62,chromosome 18 open reading frame 62,,,,
TC11001723.hg.1,1,0.183336,-1.34,-4.8305,ARHGAP1,Rho GTPase activating protein 1,,,,
TC01003417.hg.1,1,0.183416,-1.34,-4.8308,DEDD,death effector domain containing,,,,
TC14000769.hg.1,1,0.183454,1.34,-4.8309,LOC100507277,uncharacterized LOC100507277,,,,
TC17001438.hg.1,1,0.183552,1.34,-4.8313,SNORA21,small nucleolar RNA, H/ACA box 21,,,
TC03001936.hg.1,1,0.183696,-1.34,-4.8318,LOC730091,uncharacterized LOC730091,,,,
TC07001098.hg.1,1,0.183777,-1.34,-4.8321,BRAT1,BRCA1-associated ATM activator 1,,,,
TC01003279.hg.1,1,0.183864,-1.34,-4.8324,DENND4B,DENN/MADD domain containing 4B,,,,
TC19001146.hg.1,1,0.183886,1.34,-4.8324,ZNF266,zinc finger protein 266,,,,
TC0X000885.hg.1,1,0.183936,1.34,-4.8326,CTPS2,CTP synthase II,,,,
TC6_ssto_hap7000049.hg.1,1,0.18412,1.34,-4.8333,HCG26,HLA complex group 26 (non-protein coding),,,,
TC19001530.hg.1,1,0.184144,1.34,-4.8334,TTC9B,tetratricopeptide repeat domain 9B,,,,
TC06001015.hg.1,1,0.184189,1.34,-4.8335,PDE7B,phosphodiesterase 7B,,,,
TC22000257.hg.1,1,0.184215,-1.34,-4.8336,TOM1,target of myb1 (chicken),,,,
TC01001399.hg.1,1,0.184226,-1.34,-4.8337,FCGR2A,Fc fragment of IgG, low affinity IIa, receptor (CD32),,
TC19001072.hg.1,1,0.184237,-1.34,-4.8337,PLIN3,perilipin 3,,,,
TC06000066.hg.1,1,0.184244,1.34,-4.8337,HULC,highly up-regulated in liver cancer (non-protein coding),,,,
TC19000591.hg.1,1,0.184291,-1.34,-4.8339,LOC100505622,uncharacterized LOC100505622,,,,
TC16000375.hg.1,1,0.184295,-1.34,-4.8339,ITGAX,integrin, alpha X (complement component 3 receptor 4 subunit),,,
TC6_qbl_hap6000210.hg.1,1,0.184299,-1.34,-4.8339,HLA-DPB1,major histocompatibility complex, class II, DP beta 1,,
TC05001438.hg.1,1,0.184329,-1.34,-4.834,TAF9,TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa,,
TC09001609.hg.1,1,0.184355,-1.34,-4.8341,ENG,endoglin,,,,
TC07000341.hg.1,1,0.184441,-1.34,-4.8344,SUMF2,sulfatase modifying factor 2,,,,
TC07001127.hg.1,1,0.184484,-1.34,-4.8346,CYTH3,cytohesin 3,,,,
TC11000506.hg.1,1,0.184509,-1.34,-4.8347,MS4A4A,membrane-spanning 4-domains, subfamily A, member 4,,
TC19000132.hg.1,1,0.184574,-1.34,-4.8349,STXBP2,syntaxin binding protein 2,,,,
TC01002138.hg.1,1,0.184801,-1.34,-4.8357,C1orf174,chromosome 1 open reading frame 174,,,,
TC10001628.hg.1,1,0.184831,1.34,-4.8358,PCGF6,polycomb group ring finger 6,,,,
TC19000469.hg.1,1,0.184851,1.34,-4.8359,LOC100128682,uncharacterized LOC100128682,,,,
TC12000092.hg.1,1,0.18517,-1.34,-4.837,CD4,CD4 molecule,,,,
TC06001845.hg.1,1,0.185182,1.34,-4.8371,EYS,eyes shut homolog (Drosophila),,,,
TC06001019.hg.1,1,0.185299,1.34,-4.8375,PEX7,peroxisomal biogenesis factor 7,,,,
TC02002512.hg.1,1,0.185373,1.34,-4.8377,METTL5,methyltransferase like 5,,,,
TC01000084.hg.1,1,0.18543,-1.34,-4.8379,KCNAB2,potassium voltage-gated channel, shaker-related subfamily, beta member 2,,
TC07001714.hg.1,1,0.185431,1.34,-4.8379,FBXL13,F-box and leucine-rich repeat protein 13,,,,
TC15000279.hg.1,1,0.185489,-1.34,-4.8381,LOC100505573,uncharacterized LOC100505573,,,,
TC05001074.hg.1,1,0.185599,1.34,-4.8385,OR2V2,olfactory receptor, family 2, subfamily V, member 2,
TC09001637.hg.1,1,0.185656,-1.34,-4.8387,ZDHHC12,zinc finger, DHHC-type containing 12,,,
TC07003360.hg.1,1,0.185679,-1.34,-4.8388,GATSL2,GATS protein-like 2,,,,
TC08001551.hg.1,1,0.185704,1.34,-4.8389,SAMD12,sterile alpha motif domain containing 12,,,,
TC12001401.hg.1,1,0.185734,1.34,-4.839,GXYLT1,glucoside xylosyltransferase 1,,,,
TC6_cox_hap2000020.hg.1,1,0.185745,-1.34,-4.839,HLA-F,major histocompatibility complex, class I, F,,
TC0X001018.hg.1,1,0.185752,-1.34,-4.8391,TIMM17B,translocase of inner mitochondrial membrane 17 homolog B (yeast),,,,
TC21000166.hg.1,1,0.185805,-1.34,-4.8393,DSCR10,Down syndrome critical region gene 10 (non-protein coding),,,,
TC03000377.hg.1,1,0.185934,-1.34,-4.8397,RPP14,ribonuclease P/MRP 14kDa subunit,,,,
TC18000284.hg.1,1,0.185965,1.34,-4.8398,CBX3P2,chromobox homolog 3 pseudogene 2,,,,
TC0X000099.hg.1,1,0.186003,-1.34,-4.84,YY2,YY2 transcription factor,,,,
TC03001473.hg.1,1,0.186011,1.34,-4.84,ACTR8,ARP8 actin-related protein 8 homolog (yeast),,,,
TC11000575.hg.1,1,0.186039,-1.34,-4.8401,RTN3,reticulon 3,,,,
TC01002012.hg.1,1,0.186072,1.34,-4.8402,OR2G2,olfactory receptor, family 2, subfamily G, member 2,
TC11001981.hg.1,1,0.186107,-1.34,-4.8403,PPP1CA,protein phosphatase 1, catalytic subunit, alpha isozyme,,
TC20000913.hg.1,1,0.186408,-1.33,-4.8414,SULF2,sulfatase 2,,,,
TC07001236.hg.1,1,0.186476,-1.33,-4.8416,CPVL,carboxypeptidase, vitellogenic-like,,,
TC02001579.hg.1,1,0.186484,1.33,-4.8416,E2F6,E2F transcription factor 6,,,,
TC02002105.hg.1,1,0.186491,-1.33,-4.8417,TMEM127,transmembrane protein 127,,,,
TC19000564.hg.1,1,0.186624,-1.33,-4.8421,SHKBP1,SH3KBP1 binding protein 1,,,,
TC01001002.hg.1,1,0.186684,-1.33,-4.8423,DCLRE1B,DNA cross-link repair 1B,,,,
TC0X000755.hg.1,1,0.186894,-1.33,-4.8431,ABCD1,ATP-binding cassette, sub-family D (ALD), member 1,,
TC03000248.hg.1,1,0.186922,-1.33,-4.8432,LIMD1,LIM domains containing 1,,,,
TC6_cox_hap2000244.hg.1,1,0.186953,-1.33,-4.8433,C2,complement component 2,,,,
TC6_qbl_hap6000224.hg.1,1,0.186953,-1.33,-4.8433,C2,complement component 2,,,,
TC11001853.hg.1,1,0.186972,-1.33,-4.8434,CPSF7,cleavage and polyadenylation specific factor 7, 59kDa,,,
TC01003605.hg.1,1,0.186991,-1.33,-4.8434,GLUL,glutamate-ammonia ligase,,,,
TC17001492.hg.1,1,0.187155,-1.33,-4.844,KRTAP4-5,keratin associated protein 4-5,,,,
TC10001292.hg.1,1,0.187247,1.33,-4.8443,A1CF,APOBEC1 complementation factor,,,,
TC15001581.hg.1,1,0.187254,-1.33,-4.8443,SNORD16,small nucleolar RNA, C/D box 16,,,
TC13000769.hg.1,1,0.187288,1.33,-4.8445,SLITRK6,SLIT and NTRK-like family, member 6,,,
TC15001841.hg.1,1,0.187362,-1.33,-4.8447,IDH2,isocitrate dehydrogenase 2 (NADP+), mitochondrial,,,
TC02000671.hg.1,1,0.187487,1.33,-4.8452,ANKRD57,ankyrin repeat domain 57,,,,
TC20000553.hg.1,1,0.18752,-1.33,-4.8453,SIRPD,signal-regulatory protein delta,,,,
TC01001279.hg.1,1,0.187543,-1.33,-4.8454,CHRNB2,cholinergic receptor, nicotinic, beta 2 (neuronal),,
TC19000337.hg.1,1,0.18758,-1.33,-4.8455,SLC27A1,solute carrier family 27 (fatty acid transporter), member 1,,,
TC09002927.hg.1,1,0.187586,-1.33,-4.8455,LCN6,lipocalin 6,,,,
TC16000812.hg.1,1,0.187647,-1.33,-4.8457,MEFV,Mediterranean fever,,,,
TC06001271.hg.1,1,0.187671,1.33,-4.8458,ELOVL2,ELOVL fatty acid elongase 2,,,,
TC06000117.hg.1,1,0.187756,-1.33,-4.8461,KDM1B,lysine (K)-specific demethylase 1B,,,,
TC19001247.hg.1,1,0.187857,1.33,-4.8464,OR7A17,olfactory receptor, family 7, subfamily A, member 17,
TC07001185.hg.1,1,0.187896,1.33,-4.8466,RAPGEF5,Rap guanine nucleotide exchange factor (GEF) 5,,,,
TC10000682.hg.1,1,0.187938,1.33,-4.8467,ZNF518A,zinc finger protein 518A,,,,
TC07001928.hg.1,1,0.187948,1.33,-4.8468,MRPS33,mitochondrial ribosomal protein S33,,,,
TC10000468.hg.1,1,0.187952,-1.33,-4.8468,SEC24C,SEC24 family, member C (S. cerevisiae),,,
TC0X001357.hg.1,1,0.187983,-1.33,-4.8469,ELF4,E74-like factor 4 (ets domain transcription factor),,,,
TC01001860.hg.1,1,0.187986,1.33,-4.8469,MIXL1,Mix paired-like homeobox,,,,
TC11000704.hg.1,1,0.188027,-1.33,-4.847,TCIRG1,T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3
TC10000752.hg.1,1,0.188129,-1.33,-4.8474,GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1,,,,
TC0X001065.hg.1,1,0.188147,-1.33,-4.8475,HSD17B10,hydroxysteroid (17-beta) dehydrogenase 10,,,,
TC03000801.hg.1,1,0.188183,-1.33,-4.8476,GYG1,glycogenin 1,,,,
TC10000485.hg.1,1,0.188204,-1.33,-4.8477,VDAC2,voltage-dependent anion channel 2,,,,
TC07001262.hg.1,1,0.188292,-1.33,-4.848,RP9P,retinitis pigmentosa 9 pseudogene,,,,
TC01006304.hg.1,1,0.188335,-1.33,-4.8481,GBA,glucosidase, beta, acid,,
TC11000315.hg.1,1,0.18834,-1.33,-4.8481,LOC338739,uncharacterized LOC338739,,,,
TC11001353.hg.1,1,0.188471,-1.33,-4.8486,FAM160A2,family with sequence similarity 160, member A2,,,
TC6_apd_hap1000070.hg.1,1,0.188581,-1.33,-4.849,TRIM26,tripartite motif containing 26,,,,
TC6_dbb_hap3000123.hg.1,1,0.188581,-1.33,-4.849,TRIM26,tripartite motif containing 26,,,,
TC02004927.hg.1,1,0.188634,-1.33,-4.8491,DCTN1,dynactin 1,,,,
TC07000248.hg.1,1,0.18876,1.33,-4.8496,C7orf36,chromosome 7 open reading frame 36,,,,
TC06001484.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_apd_hap1000059.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_cox_hap2000121.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_dbb_hap3000110.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_mann_hap4000099.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_mcf_hap5000103.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_qbl_hap6000111.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC6_ssto_hap7000103.hg.1,1,0.188864,-1.33,-4.8499,MAS1L,MAS1 oncogene-like,,,,
TC19000837.hg.1,1,0.18891,1.33,-4.8501,MIR524,microRNA 524,,,,
TC01001339.hg.1,1,0.188928,-1.33,-4.8502,CD1C,CD1c molecule,,,,
TC01001161.hg.1,1,0.188957,-1.33,-4.8503,FCGR1C,Fc fragment of IgG, high affinity Ic, receptor (CD64), pseudogene,
TC22000550.hg.1,1,0.189063,1.33,-4.8506,ZNF280B,zinc finger protein 280B,,,,
TC13000359.hg.1,1,0.189104,-1.33,-4.8508,MIR4306,microRNA 4306,,,,
TC17001528.hg.1,1,0.189113,-1.33,-4.8508,GHDC,GH3 domain containing,,,,
TC17001496.hg.1,1,0.189137,-1.33,-4.8509,KRTAP29-1,keratin associated protein 29-1,,,,
TC10001715.hg.1,1,0.18914,1.33,-4.8509,C10orf120,chromosome 10 open reading frame 120,,,,
TC14001122.hg.1,1,0.189187,1.33,-4.8511,SAV1,salvador homolog 1 (Drosophila),,,,
TC09000457.hg.1,1,0.189189,1.33,-4.8511,MIRLET7F1,microRNA let-7f-1,,,,
TC04001172.hg.1,1,0.189205,1.33,-4.8511,CNGA1,cyclic nucleotide gated channel alpha 1,,,,
TC12002016.hg.1,1,0.189227,-1.33,-4.8512,WSB2,WD repeat and SOCS box containing 2,,,,
TC12001987.hg.1,1,0.189295,-1.33,-4.8514,IQCD,IQ motif containing D,,,,
TC02002557.hg.1,1,0.189348,1.33,-4.8516,MIR1246,microRNA 1246,,,,
TC03000142.hg.1,1,0.18939,1.33,-4.8518,ZCWPW2,zinc finger, CW type with PWWP domain 2,,,
TC01000949.hg.1,1,0.189402,1.33,-4.8518,MIR197,microRNA 197,,,,
TC01002766.hg.1,1,0.189584,1.32,-4.8524,DEPDC1,DEP domain containing 1,,,,
TC14000342.hg.1,1,0.189758,1.32,-4.853,NAA30,N(alpha)-acetyltransferase 30, NatC catalytic subunit,,,
TC09001565.hg.1,1,0.189865,-1.32,-4.8534,SNORD90,small nucleolar RNA, C/D box 90,,,
TC01001569.hg.1,1,0.189883,-1.32,-4.8535,IER5,immediate early response 5,,,,
TC6_cox_hap2000120.hg.1,1,0.1899,1.32,-4.8535,OR12D3,olfactory receptor, family 12, subfamily D, member 3,
TC06004122.hg.1,1,0.189914,-1.32,-4.8536,HLA-DRB5,major histocompatibility complex, class II, DR beta 5,,
TC04000371.hg.1,1,0.189945,1.32,-4.8537,UGT2B7,UDP glucuronosyltransferase 2 family, polypeptide B7,,,
TC03001732.hg.1,1,0.189966,-1.32,-4.8537,SLC41A3,solute carrier family 41, member 3,,,
TC12000677.hg.1,1,0.190492,1.32,-4.8555,C12orf26,chromosome 12 open reading frame 26,,,,
TC0X000061.hg.1,1,0.190501,1.32,-4.8556,OFD1,oral-facial-digital syndrome 1,,,,
TC20000209.hg.1,1,0.190521,1.32,-4.8556,KIF3B,kinesin family member 3B,,,,
TC07003372.hg.1,1,0.190574,-1.32,-4.8558,LRCH4,leucine-rich repeats and calponin homology (CH) domain containing 4,,,,
TC08000635.hg.1,1,0.190586,1.32,-4.8559,ODF1,outer dense fiber of sperm tails 1,,,,
TC15001650.hg.1,1,0.190627,-1.32,-4.856,SCAMP2,secretory carrier membrane protein 2,,,,
TC0Y000194.hg.1,1,0.190629,-1.32,-4.856,TTTY5,testis-specific transcript, Y-linked 5 (non-protein coding),,,
TC02001740.hg.1,1,0.190668,1.32,-4.8561,SULT6B1,sulfotransferase family, cytosolic, 6B, member 1,
TC17000979.hg.1,1,0.190686,-1.32,-4.8562,SCARF1,scavenger receptor class F, member 1,,,
TC06001338.hg.1,1,0.190697,1.32,-4.8563,SLC17A3,solute carrier family 17 (sodium phosphate), member 3,,,
TC19000706.hg.1,1,0.190735,-1.32,-4.8564,SPACA4,sperm acrosome associated 4,,,,
TC22000223.hg.1,1,0.190805,-1.32,-4.8566,RNF185,ring finger protein 185,,,,
TC04000821.hg.1,1,0.19091,1.32,-4.857,LOC100505989,uncharacterized LOC100505989,,,,
TC0X000952.hg.1,1,0.190958,1.32,-4.8571,DYNLT3,dynein, light chain, Tctex-type 3,,
TC12001876.hg.1,1,0.190967,1.32,-4.8572,ARL1,ADP-ribosylation factor-like 1,,,,
TC18001001.hg.1,1,0.191049,-1.32,-4.8575,SERPINB8,serpin peptidase inhibitor, clade B (ovalbumin), member 8,,
TC20000920.hg.1,1,0.191276,-1.32,-4.8582,PREX1,phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1,,
TC04000689.hg.1,1,0.19134,1.32,-4.8584,SCOC,short coiled-coil protein,,,,
TC02001220.hg.1,1,0.191373,1.32,-4.8586,LOC200726,hCG1657980,,,,
TC01000066.hg.1,1,0.19144,1.32,-4.8588,ACTRT2,actin-related protein T2,,,,
TC07000584.hg.1,1,0.19156,-1.32,-4.8592,BRI3,brain protein I3,,,,
TC01002838.hg.1,1,0.191571,1.32,-4.8592,LOC100505768,uncharacterized LOC100505768,,,,
TC19000032.hg.1,1,0.191642,-1.32,-4.8595,ATP5D,ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit,
TC12001609.hg.1,1,0.191851,-1.32,-4.8602,ATP5B,ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide,
TC01003205.hg.1,1,0.191893,-1.32,-4.8603,MCL1,myeloid cell leukemia sequence 1 (BCL2-related),,,,
TC06001773.hg.1,1,0.192115,-1.32,-4.8611,PLA2G7,phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma),,
TC04000412.hg.1,1,0.192147,1.32,-4.8612,MTHFD2L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like,,,,
TC17001470.hg.1,1,0.19221,-1.32,-4.8614,KRT26,keratin 26,,,,
TC17000090.hg.1,1,0.192253,-1.32,-4.8615,KCTD11,potassium channel tetramerisation domain containing 11,,,,
TC12001545.hg.1,1,0.192289,-1.32,-4.8617,RARG,retinoic acid receptor, gamma,,,
TC07001314.hg.1,1,0.192315,1.32,-4.8618,C7orf11,chromosome 7 open reading frame 11,,,,
TC21000398.hg.1,1,0.19241,1.32,-4.8621,SNORA80,small nucleolar RNA, H/ACA box 80,,,
TC19001484.hg.1,1,0.192416,1.32,-4.8621,LOC400692,uncharacterized LOC400692,,,,
TC21000181.hg.1,1,0.192443,1.32,-4.8622,DSCAM-AS1,DSCAM antisense RNA 1 (non-protein coding),,,,
TC12002080.hg.1,1,0.192465,1.32,-4.8623,VPS37B,vacuolar protein sorting 37 homolog B (S. cerevisiae),,,,
TC16000665.hg.1,1,0.192474,-1.32,-4.8623,COX4I1,cytochrome c oxidase subunit IV isoform 1,,,,
TC0X000081.hg.1,1,0.192505,1.32,-4.8624,TXLNG,taxilin gamma,,,,
TC05001667.hg.1,1,0.192545,1.32,-4.8625,MIR548F3,microRNA 548f-3,,,,
TC02002212.hg.1,1,0.192584,1.32,-4.8627,ZC3H8,zinc finger CCCH-type containing 8,,,,
TC14001190.hg.1,1,0.192642,1.32,-4.8629,TRMT5,TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae),,,,
TC12000969.hg.1,1,0.192655,-1.32,-4.8629,MLXIP,MLX interacting protein,,,,
TC06001183.hg.1,1,0.192703,-1.32,-4.8631,TTLL2,tubulin tyrosine ligase-like family, member 2,,,
